EventID,Title,Type,Organizer,Date,Location,Description,Agenda
34,Microcontrollers Bootcamp,Bootcamp,Tech Innovators Club,2024-10-30,Lab C,"Learn microcontroller basics with Arduino.","Digital I/O; Sensors; Mini Project"
35,Winter Open Lab,Open Door Day,Tech Innovators Club,2024-11-05,Lab A,"Showcase winter robotics builds.","Demo; Feedback; Community interaction"
36,Tech Trends Seminar,Seminar,Tech Innovators Club,2024-11-12,Auditorium A,"Overview of upcoming technology trends.","AI; Cloud; Automation"
37,AI Code Jam,Hackathon,Tech Innovators Club,2024-11-20,Engineering Lab,"Fast-paced coding challenge with ML focus.","Warm-up; Coding; Presentations"
38,Cloud Bootcamp,Bootcamp,Tech Innovators Club,2024-11-30,Tech Hall,"Cloud fundamentals and project deployment.","Virtual machines; Containers; CI/CD"
39,Tech Innovators Talk,Conference,Tech Innovators Club,2024-12-03,Auditorium B,"Guest speakers from industry discuss innovation.","Talks; Panel; Networking"
40,Game Jam,Hackathon,Tech Innovators Club,2024-12-10,Lab C,"Students create games in 12 hours.","Team formation; Asset creation; Testing"
41,Design Workshop,Workshop,Tech Innovators Club,2024-12-15,Lab H,"Learn UI/UX fundamentals for tech projects.","Design thinking; Prototyping"
42,AI Mentorship Day,Meetup,Tech Innovators Club,2024-12-20,Club Lounge,"One-on-one mentorship sessions.","Guidance; Portfolio review"
43,2025 Kickoff Open Day,Open Door Day,Tech Innovators Club,2025-01-05,Club Space,"Start the year by exploring club activity plans.","Tours; Announcements"
44,ML Study Group,Workshop,Tech Innovators Club,2025-01-12,Lab B,"Group study on ML algorithms.","Theory; Hands-on; Discussion"
45,Cyber Bootcamp,Bootcamp,Tech Innovators Club,2025-01-20,Tech Hall,"Basics of cybersecurity and defense.","Scanning; Threat models; Practice"
46,Robotics Day,Open Door Day,Tech Innovators Club,2025-01-30,Lab A,"Display of new robotics research projects.","Demos; Showcase"
47,AI Industry Meetup,Meetup,Tech Innovators Club,2025-02-05,Auditorium C,"Students meet engineers from AI companies.","Talks; Networking"
48,Research Showcase Day,Open Door Day,Tech Innovators Club,2025-02-12,Club Space,"Students present research prototypes.","Posters; Demos"
49,Spring Bootcamp,Bootcamp,Tech Innovators Club,2025-02-20,Tech Hall,"Intro to ML/DL for beginners.","Exercises; Labs"
50,Line Follower Challenge,Competition,Tech Innovators Club,2025-02-28,Gym Hall,"Teams compete in a robotics track event.","Qualifiers; Finals"
51,AI for Health Conference,Conference,Tech Innovators Club,2025-03-05,Auditorium A,"Talks about AI in medical applications.","Imaging; Diagnosis; Ethics"
52,Start Coding Day,Workshop,Tech Innovators Club,2025-03-12,Lab B,"Coding basics for beginners.","Python; Practice"
53,IoT Hackathon,Hackathon,Tech Innovators Club,2025-03-20,Engineering Lab,"Build IoT smart home solutions.","Circuiting; Coding; Pitching"
54,Tech Careers Expo,Recruitment Day,Tech Innovators Club,2025-03-28,Club Space,"Students explore opportunities in tech.","Booths; Talks"
55,ML for Robotics Workshop,Workshop,Tech Innovators Club,2025-04-01,Lab E,"Integrating ML models into robots.","Sensors; Control"
56,AI Spring Talk,Seminar,Tech Innovators Club,2025-04-10,Auditorium A,"A short talk on AI systems.","Examples; Q&A"
57,Mini Hardware Bootcamp,Bootcamp,Tech Innovators Club,2025-04-18,Lab D,"Learn circuit basics and soldering.","Boards; Components"
58,Quantum Computing Conference,Conference,Tech Innovators Club,2025-04-28,Auditorium C,"Intro to quantum concepts.","Qubits; Gates; Real-world use"
59,Maker Open Day,Open Door Day,Tech Innovators Club,2025-05-03,Makerspace,"Show-and-tell for hardware builds.","3D prints; Circuits"
60,Robotics Meet & Build,Meetup,Tech Innovators Club,2025-05-10,Lab A,"Collaborative robot-building session.","Assembly; Testing"
61,AI Demo Day,Open Door Day,Tech Innovators Club,2025-05-18,Club Lounge,"Members present AI prototypes.","Demos; Feedback"
62,Web Jam,Hackathon,Tech Innovators Club,2025-05-25,Lab C,"A short web development hackathon.","Frontend; Backend"
63,Data Bootcamp,Bootcamp,Tech Innovators Club,2025-06-01,Tech Hall,"Learn data cleaning and analysis.","Exercises; Mini project"
64,Robotics League Round 1,Competition,Tech Innovators Club,2025-06-10,Gym Hall,"First round of the annual robotics competition.","Trials; Round matches"
65,AI Workshop Lite,Workshop,Tech Innovators Club,2025-06-15,Lab B,"Simple intro to ML.","Training; Evaluation"
66,Security Awareness Day,Seminar,Tech Innovators Club,2025-06-20,Auditorium B,"Basics of digital safety.","Passwords; Threats"
67,Engineering Open Lab,Open Door Day,Tech Innovators Club,2025-07-01,Engineering Lab,"Visit engineering project stations.","Demos; Q&A"
68,AI Summer Hackathon,Hackathon,Tech Innovators Club,2025-07-10,Engineering Lab,"An AI-focused mid-summer hackathon.","Planning; Coding"
69,Advanced CV Workshop,Workshop,Tech Innovators Club,2025-07-18,Lab F,"Advanced computer vision techniques.","Detection; Tracking"
70,App Builders Bootcamp,Bootcamp,Tech Innovators Club,2025-07-28,Tech Hall,"Mobile app development for beginners.","Flutter; Backend"
71,Innovation Conference,Conference,Tech Innovators Club,2025-08-03,Auditorium C,"Talks on innovation and entrepreneurship.","Speakers; Networking"
72,Robotics League Round 2,Competition,Tech Innovators Club,2025-08-12,Gym Hall,"Second round of robotics league.","Challenges; Finals"
73,AI Deep Dive Seminar,Seminar,Tech Innovators Club,2025-08-20,Auditorium A,"Deep-dive talk on AI concepts.","Optimization; Architectures"
74,Game Builders Workshop,Workshop,Tech Innovators Club,2025-08-28,Lab C,"Create custom game mechanics.","UI; Physics"
75,Autumn Bootcamp,Bootcamp,Tech Innovators Club,2025-09-01,Tech Hall,"General-purpose coding bootcamp.","Logic; Projects"
76,Research Open Day,Open Door Day,Tech Innovators Club,2025-09-08,Club Space,"Open research presentations.","Posters; Talk sessions"
77,AI Analytics Hackathon,Hackathon,Tech Innovators Club,2025-09-18,Engineering Lab,"Build analytics dashboards using AI.","Data; ML"
78,Web Security Workshop,Workshop,Tech Innovators Club,2025-09-25,Lab D,"Learn basic web security.","Vulnerabilities; Fixes"
79,Tech Debate Day,Meetup,Tech Innovators Club,2025-10-01,Club Lounge,"Students debate modern tech topics.","Panels; Discussions"
80,AI Robotics Conference,Conference,Tech Innovators Club,2025-10-10,Auditorium A,"Conference on combining AI with robotics.","Talks; Demos"
81,Circuit Design Bootcamp,Bootcamp,Tech Innovators Club,2025-10-20,Lab E,"Learn to design simple circuits.","Simulation; Testing"
82,Vision Hackathon,Hackathon,Tech Innovators Club,2025-10-30,Lab F,"A CV-focused hackathon.","Object detection; Tracking"
83,Autonomous Robot Day,Open Door Day,Tech Innovators Club,2025-11-05,Lab A,"Showcase autonomous robots.","Demonstrations"
84,AI Night Talk,Seminar,Tech Innovators Club,2025-11-12,Auditorium C,"Evening talk about recent AI tools.","Demos; Q&A"
85,Microcontroller Workshop,Workshop,Tech Innovators Club,2025-11-20,Lab E,"Hands-on Arduino workshop.","Coding; Sensors"
86,AI Research Meetup,Meetup,Tech Innovators Club,2025-11-28,Club Lounge,"Researchers meet to share progress.","Talks; Feedback"
87,End of Year Open Lab,Open Door Day,Tech Innovators Club,2025-12-01,Makerspace,"Final project showcasing.","Demo stations"
88,Winter Buildathon,Hackathon,Tech Innovators Club,2025-12-10,Engineering Lab,"Build hardware + software prototypes.","Circuit builds; Coding"
89,Tech Overview Seminar,Seminar,Tech Innovators Club,2025-12-15,Auditorium A,"Overview of tech achievements of the year.","Slides; Q&A"
90,Hardware Bootcamp,Bootcamp,Tech Innovators Club,2025-12-20,Lab D,"Hands-on hardware training.","Components; Assembly"
91,Mini ML Challenge,Competition,Tech Innovators Club,2025-12-28,Club Space,"Short ML challenge.","Dataset; Predictions"
92,AI Startup Day,Meetup,Tech Innovators Club,2026-01-05,Club Lounge,"Students pitch AI startup ideas.","Pitching; Feedback"
93,Robotics Trial Day,Open Door Day,Tech Innovators Club,2026-01-12,Lab A,"Teams test robots on trial tracks.","Testing; Debugging"
94,DeepTech Conference,Conference,Tech Innovators Club,2026-01-18,Auditorium C,"Talks on deep technologies.","AI; Robotics; Quantum"
95,Creative Coding Workshop,Workshop,Tech Innovators Club,2026-01-28,Lab B,"Coding for creative projects.","Graphics; Audio"
96,AI Simulation Bootcamp,Bootcamp,Tech Innovators Club,2026-02-05,Tech Hall,"Simulating AI systems.","Models; Testing"
97,Robotics League Finals,Competition,Tech Innovators Club,2026-02-12,Gym Hall,"Final stage of robotics league.","Final matches"
98,AI Hardware Seminar,Seminar,Tech Innovators Club,2026-02-20,Auditorium A,"AI hardware acceleration.","GPUs; TPUs"
99,CV Prototyping Day,Workshop,Tech Innovators Club,2026-02-28,Lab F,"Rapid computer vision prototyping.","Models; Testing"
100,Innovation Hackathon,Hackathon,Tech Innovators Club,2026-03-05,Engineering Lab,"Create innovative solutions.","Ideas; Coding; Demos"
